,chi2,gain,indexes,noise,noise-pe,ntot,pedestal,pes
0,8.29151120427,16.2908738701,1608,1.38125532853,1.87882469344,28766.7503799,-0.145441527409,2.64982083075
1,3.93279154661,17.0032095999,414,2.1041535267,1.91672502686,29220.8066162,0.172751133977,2.3828967575
2,7.77091503094,16.1229094712,1540,1.88030038829,1.64933047034,28697.1213164,-0.103478092288,0.942597506998
3,7.09840831389,16.2624379924,715,1.76392024203,1.8503568096,28988.2180565,0.273870125762,2.85572631005
4,5.75806390691,15.8021697705,610,2.13138280929,1.66355388756,29251.2719006,-0.218377941858,2.73949637202
5,5.24619667654,15.8590076829,1233,1.84688014675,1.58367907691,29096.158049,-0.0286989611831,1.65477820482
6,5.65958776279,15.8122487288,78,2.13461677915,1.82136141877,29035.4356616,0.217832385114,0.404235581121
7,6.23384700571,15.6463802569,1407,1.82706140872,1.80518840655,29180.5541799,0.100241754486,2.6637157696
8,11.1498850505,15.049978661,1779,1.72838383793,1.84290843796,28201.3917246,-0.0809398272584,0.293491429684
9,5.08873470832,16.3595070968,1371,2.11157829931,1.78326096188,29263.4485309,-0.167697955213,2.60587257176
10,3.7627592968,15.1808523915,1183,2.24000961028,1.63523868003,29327.3280494,0.222679812495,2.32478251242
11,6.12107060858,17.1266126624,411,1.81142244866,1.85136189125,28864.5056467,0.0292586229036,2.4860533024
12,4.47166237409,15.988284882,327,3.32945766896,1.62487672028,28827.1670577,-0.208470972078,2.5160259979
13,4.85864956182,15.9892224632,1091,2.60455118494,1.6137106682,29102.7317171,0.0212257099989,2.58807648131
14,9.20709367052,16.1648732859,1725,1.67718055013,1.75334391544,28464.331345,0.154392245982,1.42738596558
15,15.5447612038,15.701803712,1651,1.52171901683,1.83868772154,27522.2727652,-0.121710981615,0.415558409205
16,8.69028545794,16.4138096638,1782,1.77702920615,2.39091321555,28558.8747717,0.0172252148525,0.167621625265
17,8.46066467606,16.0949799446,979,1.46230775003,1.75977487745,28741.8421572,-0.0782120680916,2.6028623534
18,4.35883913312,16.8188895209,772,2.0081093186,1.86783528291,29234.9167373,-0.0880965213496,2.15489599455
19,7.37591670369,15.4733622448,995,1.65058247151,1.72004782096,28861.4615893,-0.118086682552,2.33438451944
20,9.73661231716,17.1892007001,66,1.69904697692,1.73252926973,28355.2502901,0.0996104178707,1.94597679385
21,5.08721038281,15.6932442349,860,1.96071122604,1.64856447689,29143.5914394,-0.0544972356174,1.70677436617
22,6.61615713902,17.9827905561,1548,1.7480721196,1.67307936025,28748.2772977,-0.168469395632,1.80646652477
23,5.55985981238,16.7118038437,352,2.14545801542,1.85855962632,29018.4263771,-0.203905081126,2.59700915525
24,5.90343647534,17.2834387314,848,1.82678860147,1.82990663449,28918.2136277,-0.153746696781,1.9483938763
25,6.76563634009,16.208053409,674,1.91871621839,1.80932674372,29155.3447939,-0.45449812566,2.88608971441
26,8.27633134105,15.5903705969,1767,1.60286174437,1.73843286621,28638.0261272,0.0126429217591,0.271431897042
27,6.85158942258,16.6360573764,1676,1.65172458047,1.8542691429,28890.8520849,-0.0386117620822,2.50626677821
28,5.89368847796,16.9400575659,437,1.59481885359,1.78142282443,28930.1137047,0.207135940614,2.35444312242
29,5.31327028571,16.9531836111,850,1.87458939764,1.80485401507,29023.0377044,-0.172748936926,2.06509792918
30,4.51507645423,15.8332430501,382,2.05130426722,1.7958765995,29403.5350196,0.130513860307,2.65653859202
31,3.11257703478,12.0,1329,2.13220582716,0.500000000002,29459.1408421,-0.195503997708,0.000898686867282
32,8.84936591781,16.3913784105,841,1.90961305844,1.72587369853,28534.0500951,0.00475895363542,0.415534338864
33,7.97741507815,15.2812816752,1517,1.4235747473,1.69762117552,28830.3581865,-0.0888689779351,2.38814867053
34,6.61344095105,16.5339167139,1669,1.71795749691,1.88690106577,28889.7872794,0.0303271594188,2.32689538936
35,12.4547945011,16.3487156901,239,1.33383428249,1.61494258049,27967.045764,0.255915347574,0.696166146116
36,6.68216659427,15.7053286949,702,1.788949358,1.89523702055,29231.0053291,-0.000773287855411,2.88833234813
37,10.6686659082,15.6130017631,1644,1.3348460771,1.52956548566,28245.6420022,0.0525774534016,0.562041026404
38,6.71754484005,16.699635428,959,1.65228783596,1.99114721413,28862.2578382,0.13250250283,1.86955411972
39,8.15228900975,15.8048354167,1504,1.59005459529,1.7328505137,28779.1961695,-0.0673144659045,2.44314752232
40,7.03356354327,14.6182309953,141,1.69174719757,2.78591835299,28917.9584687,-0.102225768668,0.182431108244
41,7.24685323612,16.2401060596,490,1.6631297441,1.64931293012,28801.9298444,-0.0460710107431,2.15382968355
42,5.83961698954,15.6262123139,666,1.82668565863,1.86350192733,29404.9871175,-0.134674918958,2.89750651609
